idx,title,text,alias
1,感冒,因时令外邪侵袭肺表所致。临床以发热、恶寒，头身疼痛，鼻塞、喷嚏，咽喉痛痒，咳嗽等为特征的外感时病。注： 轻者称伤风。具有一定流行性者为时行感冒。,
2,时行感冒,因时行邪毒侵袭肺卫所致。临床以骤然发热，可伴见恶寒，或微恶风寒，咽喉充血肿痛，头痛，全身肌肉或骨节酸痛等为特征，流行于四时而以冬春更为常见的感冒。,
3,少阳病,因气血虚弱，外邪与正气相搏于少阳所致。临床以往来寒热，口苦、咽干等为特征的伤寒病。,
4,损伤眩晕,因各种创伤或外力作用于人体，失血过多，或清阳不升所致。临床以外伤后头晕、目眩等为特征的损伤内证病。,
5,不寐,因忧思劳神，营卫失和，心虚胆怯，或肝郁化火，胃气不和，痰火扰心，或年老久病，心脾两虚，阴虚阳亢，心肾不交所致。临床以经常不能获得正常睡眠，或不易入睡，睡眠短浅易醒，甚则彻夜不眠，白天困乏，精力不济，可伴见头晕、耳鸣，健忘等为特征的神志病。,"不寐, 少寐"
6,呃逆,因进食生冷、辛辣，或情志郁怒等因素刺激，膈间之气不利，引动胃气上冲喉间所致。临床以呃呃有声，声音短促，持续不能自制，或伴见胃脘不适等为特征的脾系病。,
7,噎膈,因忧思不解，痰气凝结，以及火郁或血瘀、津枯、癌毒等致使食道梗阻所致。临床以吞咽不顺，食入即吐，或饮食梗阻不下等为特征的脾系病。,
8,卒腹痛,因外感六淫，食物中毒，或虫、食、石、粪邪痹阻肠胃，气血瘀闭所致。临床以突发腹部剧痛、绞痛，难以忍受，持续加重等为特征的脾系病重症。,
9,气腹痛,因饮食不慎、感受寒邪、情志刺激等，使胃肠气机阻滞所致。临床以突起阵发性腹痛，检查无形质改变等为特征的脾系病。,
10,咳嗽病,泛指因六淫外邪袭肺，或有害气体刺激，或由脏腑内伤，肺脾气虚，痰饮停肺，肝火犯肺，或久病气阴两亏等，致使肺失清肃宣降，肺气上逆，以咳嗽、咯痰为特征的一类肺系病。注： 包括外感咳嗽、内伤咳嗽。,
11,外感咳嗽,因六淫之邪犯肺，或温邪上受，肺卫失宣，肺气上逆所致。临床以起病较急，咳声急迫，或咳而不爽，或干咳、少痰，痰白或黄，可伴见发热、头痛，鼻塞、流涕，咽红、口干，喉痒或痛等为特征的急性外感肺系病。,
