id,name,description,alias
1,治法类术语,泛指治疗疾病的具体方法。即在对疾病进行诊断与辨证的基础上，按照标本缓急、三因制宜、扶正祛邪等基本法则制订各种具体的治法。,
2,解表法,泛指运用具有发汗、宣肺、透疹等作用的方药或相关疗法，以解散表邪、治疗表证的一类治法。,"发表法, 汗法"
3,调和营卫,运用具有解散外邪、收敛益阴等作用，促使营卫和谐的方药或相关疗法，以治疗营卫不和、营卫失调等所致病证的治法。,
4,疏风和营,运用具有疏散风邪、调和营卫等作用的方药或相关疗法，以治疗太阳中风、风邪外袭、风邪袭表、营卫不和等所致病证的治法。,
5,散寒和营,运用具有散寒通阳、调和营卫等作用的方药或相关疗法，以治疗太阳伤寒、风寒束表、外寒伤阳等所致病证的治法。,
6,化湿和营,运用具有芳香化湿、调和营卫等作用的方药或相关疗法，以治疗湿郁卫表等所致病证的治法。,
7,辛温解表,运用味辛性温，具有发散风寒、开通肌腠等作用的方药或相关疗法，以治疗寒邪或风寒束表等所致病证的治法。,"辛温发汗, 发表散寒"
8,疏风散寒,运用具有疏散风寒、开通腠理等作用的方药或相关疗法，以治疗风寒外袭所致病证的治法。,
9,疏风散寒解表,运用具有疏风散寒、发汗解表等作用的方药或相关疗法，以治疗风寒袭表、风寒束表等所致病证的治法。,
10,发汗解表,运用具有温通腠理、开表发汗等作用的方药或相关疗法，以治疗风寒束表较重或寒邪束表等所致病证的治法。,
11,辛凉解表,运用味辛性凉，具有疏散风热、解表等作用的方药或相关疗法，以治疗风热犯表等所致病证的治法。,"辛凉透表, 疏散风热"
12,疏邪解表,运用具有疏散外邪、解肌发表等作用的方药或相关疗法，以治疗风寒袭表、风热在表、湿郁卫表、风湿滞表、寒湿犯表、暑湿袭表等邪郁肌表所致病证的治法。,祛邪解表
13,解肌发表,运用具有解肌、发散等作用的方药或相关疗法，以治疗风热在表、湿郁卫表、暑湿袭表等邪在肌表所致病证的治法。,
14,疏风解表,运用具有疏散风邪、解肌发表等作用的方药或相关疗法，以治疗风邪犯表等所致病证的治法。,
15,解肌透疹,运用具有辛凉解毒、疏风解肌、达邪透疹等作用的方药或相关疗法，以治疗风热蕴肤、风毒犯表、风热湿毒壅盛、血热风盛、肺经风热、麻毒陷肺等所致病证的治法。,
16,疏风透疹,运用具有疏风解肌、达邪透疹等作用的方药或相关疗法，以治疗风邪外袭、风热蕴肤、风寒外袭等所致病证的治法。,
17,解毒透疹,运用具有辛凉解毒、达邪透疹等作用的方药或相关疗法，以治疗肺热发疹、麻毒陷肺等所致病证的治法。,
18,祛湿解表,解散表邪药与芳香化湿药并用，以治疗风湿袭表等所致病证的治法。,
19,理气解表,解散表邪药与调理气机药并用，以治疗外有表邪、内有气滞等所致病证的治法。,
20,扶正解表,发散解表药与扶助、补养正气药并用，以治疗气血阴阳虚弱、外邪束表等所致病证的治法。,
21,益气解表,解表药与补气药并用，以治疗气虚外感等所致病证的治法。,
22,养血解表,解表药与补血药并用，以治疗血虚外感等所致病证的治法。,
23,求汗于血,运用补养阴血为主，佐以具有发汗解表作用的方药或相关疗法，以治疗风寒外束、阴血不足而难以汗解所致病证的治法。,
24,滋阴解表,解表药与滋阴药并用，以治疗阴虚外感等所致病证的治法。,
25,温阳解表,解表药与温阳药并用，以治疗阳虚外感等所致病证的治法。,"温阳发汗, 助阳解表, 助阳发汗"
26,温经解表,辛温解表药与温通经脉药并用，以治疗风寒袭络、寒胜痛痹等所致病证的治法。,
27,解表通经,运用具有疏散表邪、温通经气等作用的方药或相关疗法，以治疗寒邪束表、经气不利等所致病证的治法。,
28,表里双解法,泛指同时运用具有解除表邪和里邪等作用的方药或相关疗法，以治疗表里同病等病证的一类治法。,
29,表里双解,解除表邪和里邪的方药并用，以治疗表寒里热、表热里寒、表里实寒、表里实热、表里俱实等病证的治法。,
30,辛凉清热,运用味辛性凉，具有辛凉解表、清泄邪热等作用的方药或相关疗法，以治疗卫气同病等所致病证的治法。,
