name,code,resource,herbs,part,slice,prepmethods,alias
伸筋草,6130250100104005,石松科,伸筋草,全草,段,nan,nan
卷柏,6130350100104002,卷柏科,卷柏,全草,段,nan,九死还魂
卷柏炭,6130350100104415,卷柏科,卷柏,全草,段,炒炭,九死还魂炭
木贼,6130550500104002,木贼科,木贼,地上部分,段,nan,木贼草
紫萁贯众,6131310500103004,紫其科,紫萁贯众,根茎和叶柄残基,片,nan,nan
海金沙,6131790100100007,海金沙科,海金沙,成熟孢子,nan,nan,nan
狗脊,6131910500103006,蚌壳蕨科,狗脊,根茎,厚片,nan,金毛狗脊
烫狗脊,6131910500103228,蚌壳蕨科,狗脊,根茎,厚片,砂烫,砂炒狗脊
绵马贯众,6134510500103005,鳞毛蕨科,绵马贯众,根茎和叶柄残基,厚片,nan,贯众
绵马贯众炭,6134510500103418,鳞毛蕨科,绵马贯众,根茎和叶柄残基,厚片,炒炭,贯众炭
骨碎补,6135610500103001,水龙骨科,骨碎补,根茎,厚片,nan,毛姜、猴姜
烫骨碎补,6135610500103223,水龙骨科,骨碎补,根茎,厚片,砂烫,烫毛姜、烫猴姜
石韦,6135620700104005,水龙骨科,石韦,叶,段,nan,nan
银杏叶,614022070010000,银杏科,银杏叶,叶,nan,nan,白果叶
白果仁,614024050010000,银杏科,白 果,成熟种仁,去硬壳,nan,白果、银杏
炒白果仁,6140240500100117,银杏科,白 果,种子,去硬壳,炒黄,炒白果、熟白果
油松节,6140420400105003,松科,油松节,瘤状节或分枝节,薄片或小块,nan,nan
土荆皮,6140420600106008,松科,土荆皮,根皮或近根树皮,丝,nan,nan
松花粉,6140430500100006,松科,松花粉,花粉,nan,nan,nan
侧柏叶,6140621200100001,柏科,侧柏叶,枝梢和叶,去硬梗,nan,nan
侧柏炭,6140621200100414,柏科,侧柏叶,枝梢和叶,去硬梗,炒炭,侧柏叶炭
柏子仁,6140640500100009,柏科,柏子仁,成熟种仁,去残留的种皮,nan,nan
柏子仁霜,6140640500100832,柏科,柏子仁,种仁,nan,制霜,nan
榧子,6140940600100009,红豆杉科,框子,种子,去壳取仁,nan,榧子仁、香榧子
麻黄根,6141010300103002,麻黄科,麻黄根,根和根茎,厚片,nan,nan
麻黄,614102888704008,麻黄科,麻黄,草质茎,段,nan,nan
蜜麻黄,614102888704350,麻黄科,麻黄,草质茎,段,蜜炙,炙麻黄
三白草,6150250500104005,三白草科,三白草,地上部分,段,nan,nan
干鱼腥草,6150250500204002,三白草科,鱼腥草,全草或地上部分,段,nan,干蕺菜
鲜鱼腥草,6150250500208000,三白草科,鱼腥草,全草或地上部分,鲜用,nan,nan
海风藤,6150320100103002,胡椒科,海风藤,藤茎,厚片,nan,nan
胡椒,6150340200100008,胡椒科,胡椒,果实,nan,nan,黑胡椒、白胡椒
荜菱,6150340200200005,胡椒科,荜菱,近成熟或成熟果穗,nan,nan,nan
肿节风,6150450100104003,金粟兰科,肿节风,全草,段,nan,草珊瑚、接骨金粟兰
核桃仁,6150740600100002,胡桃科,核桃仁,成熟种子,nan,nan,胡桃仁、胡桃肉
桑枝,6151220200103003,桑科,桑枝,嫩枝,厚片,nan,nan
炒桑枝,6151220200103119,桑科,桑枝,嫩枝,厚片,炒黄,nan
桑白皮,6151220600106000,桑科,桑白皮,根皮,丝,nan,桑根皮
蜜桑白皮,6151220600106352,桑科,桑白皮,根皮,丝,蜜炙,炙桑白皮
桑叶,6151220700107006,柔科,桑叶,叶,搓碎,nan,冬桑叶、霜柔叶
桑椹,6151240200100000,桑科,桑椹,果穗,nan,nan,桑椹子
楮实子,6151240200200007,桑科,楮实子,成熟果实,nan,nan,构树子
火麻仁,6151240200300004,桑科,火麻仁,成熟果实,nan,nan,大麻仁、麻仁
炒火麻仁,6151240200300110,桑科,火麻仁,成熟果实,nan,炒黄,炒大麻仁、炒麻仁
檀香,615182040010700,檀香科,檀香,树干的心材,小碎块,nan,nan
桑寄生,6151921200103009,桑寄生科,桑寄生,带叶茎枝,厚片、短段,nan,广寄生
槲寄生,6151921200203006,桑寄生科,槲寄生,带叶茎枝,厚片,nan,nan
细辛,6152010300104005,马兜铃科,细辛,根和根茎,段,nan,华细辛、北细辛、辽细辛
马兜铃,6152040200107004,马兜铃科,马兜铃,果实,碎片,nan,nan
蜜马兜铃,6152040200107356,马兜铃科,马兜铃,成熟果实,碎片,蜜炙,炙马兜铃
天仙藤,6152050500104009,马兜铃科,天仙藤,地上部分,段,nan,马兜铃藤
大黄,6152310300103009,蓼科,大黄,根和根茎,厚片或块,nan,生大黄、川大黄、川军
酒大黄,6152310300103313,蓼科,大黄,根和根茎,厚片或块,酒炙,酒炙大黄、酒军
大黄炭,6152310300103412,蓼科,大黄,根和根茎,厚片或块,炒炭,川军炭、军炭
熟大黄,6152310300103610,蓼科,大黄,根和根茎,厚片或块,酒炖或酒蒸,熟军
虎杖,6152310300203006,蓼科,虎杖,根和根茎,厚片,nan,nan
何首乌,6152310400103008,蓼科,何首乌,块根,厚片或块,nan,首乌
制何首乌,6152310400103695,蓼科,何首乌,块根,厚片或块,黑豆汁炖或蒸,制首乌
拳参,6152310500102000,蓼科,拳参,根茎,薄片,nan,nan
金荞麦,6152310500203004,萝科,金荞麦,根茎,厚片,nan,nan
首乌藤,6152320100104007,蓼科,首乌藤,藤茎,段,nan,夜交藤
蓼大青叶,6152320700100003,蓼科,蓼大青叶,叶,nan,nan,nan
水红花子,6152340200100006,蓼科,水红花子,成熟果实,nan,nan,nan
