id,name,description,alias
1,期度类术语,泛指根据疾病病程中不同时相阶段及其轻重程度而进行的分类。,
2,期类,泛指疾病病程中不同时相阶段的分类。,
3,初期,泛指疾病的开始阶段，一般病情较轻。,
4,中期,泛指疾病的中间阶段，一般病情较重。,
5,后期,泛指疾病的后期阶段，一般病情严重。,
6,晚期,泛指疾病的最后阶段，病情十分严重，常可危及生命。,
7,发作期,泛指疟疾、哮病、痫病、胸痹心痛等周期性或反复发作性疾病，正处于发作的阶段。,
8,缓解期,泛指疟疾、哮病、痫病、胸痹心痛等周期性或反复发作性疾病，已控制其发作，进入病情缓解的阶段。,
9,恢复期,泛指疾病病程进入康复阶段，以治疗后患者的症状、体征或检验指标等逐渐减轻、缓解或恢复正常为特征。,
10,疹前期,泛指出疹性疾病的开始阶段，一般病情较轻，以疹点尚未显露，多有发热恶风，轻微咳嗽等为特征。,
11,见形期,泛指出疹性疾病疹点开始显露的阶段，病情处于盛期，以疹点初现，抚之碍手，伴见发热、烦躁、口渴等为特征。,
12,出疹期,泛指出疹性疾病的出疹阶段，病情较重，以疹点显露，一般自上而下分批出疹，皮疹稠密，可融成片等为特征，有顺证与逆证的不同。,
13,疹回期,泛指出疹性疾病的恢复阶段，一般病情较轻，以皮疹出齐，按疹发顺序，渐次消退，疹退后出现糠状脱屑，并留有棕色斑痕，2周左右消失，发热渐退，食欲渐增，咳嗽减轻，精神好转，舌质嫩红少津，舌苔少，脉细数，指纹淡红等为特征。,
14,收没期,泛指出疹性疾病的后期阶段，一般病情减轻，以疹点出齐后逐渐收没，或有脱屑、色素斑等为特征。,
15,进行期,泛指出疹性疾病的发作阶段，一般病情发展迅速，以新的皮损不断出现为特征。,
16,退行期,泛指出疹性疾病的缓慢发展阶段，以皮损肥厚，经久不退为特征。,
17,成痈期,泛指痈病类疾病的初起阶段，因气血壅聚，邪正剧争所致，以发热或恶寒，患处红肿、灼热、疼痛等为特征。,
18,酿脓期,泛指痈病类疾病的酿脓阶段，因邪正交争，热毒壅聚腐肉所致，以壮热，口渴，患处红肿高突、肿胀剧痛，舌质红，舌苔黄，脉洪数等为特征。,
19,成脓期,泛指痈病类疾病脓液已成阶段，以患处肿块变软，应指有波动感，或疮顶有黄白色脓头等为特征。,
20,溃脓期,泛指痈病类疾病脓成，疮口溃破阶段，以发热，患处红肿啄痛，脓熟溃破，脓液流出则诸症减轻等为特征。,
21,溃后期,泛指痈病类疾病脓液已尽阶段，以溃脓后疮面大多很快愈合，或久不收口，或形成瘘管等为特征。,
22,收口期,泛指痈疽类疾病疮面愈合阶段，以疮面脓腐渐尽，新肉生长，逐渐愈合等为特征。,
23,未破损期,泛指损伤或疮疡类疾病未出现疮口破溃或皮肉破损的阶段。,
24,已破损期,泛指损伤或疮疡类疾病出现疮口溃破，或有皮肉破损，甚至脏器或骨端外露的阶段。,
25,度类,泛指根据疾病轻重程度所进行的分类。,
26,一度,泛指阴挺、水火烫伤或其他各种疾病，病情较轻者。,
27,二度,泛指阴挺、水火烫伤或其他各种疾病，病情较重者。,
28,三度,泛指阴挺、水火烫伤或其他各种疾病，病情严重者。,重度
