efficacy,code,name,resource,composition,efficacy.1,indications,alias
解表方-辛温解表,600110017,麻黄汤,《伤寒论》,麻黄，桂枝，苦杏仁，炙甘草,发汗解表，宣肺平喘,外感风寒表实证。恶寒发热，头痛身疼，无汗而喘；舌苔薄白，脉浮紧,与“麻黄解肌汤”(《外台秘要》引《深师方》)为异名同方
解表方-辛温解表,600110024,桂枝汤,《伤寒论》,桂枝，白芍，炙甘草，生姜，大枣,解肌发表，调和营卫,外感风寒表虚证。恶风发热，汗出头痛，鼻鸣干呕，口不渴；舌淡苔白，脉浮缓或浮弱,与“阳旦汤”(《金匮要略》)为异名同方
解表方-辛温解表,600110031,九味羌活汤,《此事难知》引张洁古,羌活，防风，麸炒苍术，细辛，川芎，白芷，地黄，黄芩片，甘草,发汗祛湿，兼清里热,外感风寒湿邪，内有蕴热证。恶寒发热，无汗，头痛项强，肢体酸楚疼痛，口苦而渴；舌苔白或微黄，脉浮,"与“大羌活汤”(《医方类聚》引《经验秘方》)、""羌活冲和汤""(《伤寒全生集》)为异名同方"
解表方-辛温解表,600110048,香苏散,《太平惠民和剂局方》,醋香附，紫苏叶，炙甘草，陈皮,疏散风寒，理气和中,外感风寒，气郁不舒证。身热，头痛无汗，胸脘痞闷，不思饮食；舌苔薄白，脉浮,
解表方-辛温解表,600110055,小青龙汤,《伤寒论》,麻黄，白芍，细辛，干姜，炙甘草，桂枝，姜半夏，五味子,解表散寒，温肺化饮,外寒内饮证。恶寒发热，无汗，咳喘，痰多而稀，舌苔白滑，脉浮。溢饮，身体重病，肌肤悉肿,
解表方-辛温解表,600110062,止嗽散,《医学心悟》,桔梗，荆芥，紫菀，百部，白，前，炙甘草，陈皮,宣利肺气，疏风止咳,外感咳嗽。证见咳而咽痒，咯痰不爽，或微有恶风发热；舌苔薄白，脉浮缓,
解表方-辛温解表,600110079,正柴胡饮,《景岳全书》,柴胡，防风，陈皮，白芍，炙甘草，生姜,解表散寒，解热止痛,外感风寒，发热恶寒，头疼身痛，疚疟初起；舌苔薄白，脉浮,
解表方-辛温解表,600110086,三拗汤,《太平惠民和剂局方》,麻黄，苦杏仁，甘草,宣肺解表,感冒风邪，肺气不宣证。鼻塞声重，语音不出，或头痛目眩，咳嗽多痰，胸闷气促,
解表方-辛温解表,600110093,大青龙汤,《伤寒论》,麻黄，桂枝，炙甘草，苦杏仁，石膏，生姜，大枣,发汗解表，兼清里热,外感风寒，兼有里热，恶寒发热，身疼痛，无汗烦躁；亦治溢饮，见上述症状而兼喘咳面浮者，脉浮紧,
解表方-辛温解表,600110109,桂枝加厚朴杏子汤,《伤寒论》,桂枝，白芍，生姜，大枣，炙甘草，姜厚朴，苦杏仁,解肌发表，降气平喘,素患喘病，外感风寒，恶寒发热，头痛自汗，鼻塞喘咳者,"与“桂枝加厚朴杏仁汤""(《医学纲目》)、“桂枝加朴杏汤""(《医学入门》)为异名同方"
解表方-辛温解表,600110116,葱豉汤,《肘后备急方》,葱白，淡豆豉,发汗解表，散寒通阳,外感初起，恶寒发热，无汗，头痛鼻塞者,
解表方-辛温解表,600110123,射干麻黄汤,《金匮要略》,射干，麻黄，生姜，细辛，紫菀，款冬花，大枣，姜半夏，五味子,宣肺祛痰，下气止咳,外感风寒，痰饮上逆，咳而上气，喉中有水鸡声,"与“紫菀散”(《普济方》)、“麻黄射干汤""(《不居集》)为异名同方"
解表方-辛温解表,600110130,荆防四物汤,《医宗金鉴》,荆芥，防风，当归，地黄，白芍，川芎,养血和营，祛风解表,真睛破损。伤眼剧痛，羞明难睁，流泪或流血，视物不清，重者不能见物,
解表方-辛温解表,600110147,五虎汤,《证治汇补》,麻黄，苦杏仁，石膏，甘草，细辛，桑白皮，生姜,宣肺解表，祛痰止咳,风热壅肺，身热，咳喘痰多者,
解表方-辛温解表,600110154,华盖散,《博济方》,麻黄，苦杏仁，炙甘草，桑白皮，茯苓，炒紫苏子，陈皮,宣肺解表，祛痰止咳,肺感寒邪，咳嗽上气，胸膈烦满，项背拘急，声重鼻塞，头昏目眩，痰气不利，呀呷有声,
解表方-辛温解表,600110161,金沸草散,《博济方》,前胡，荆芥穗，姜半夏，赤芍，麻黄，甘草，旋覆花,发散风寒，降气化痰,伤寒中脘有痰，令人壮热，头痛，项筋紧急，时发寒热,
解表方-辛温解表,600110178,桂枝麻黄各半汤,《伤寒论》,桂枝，白芍，生姜，炙甘草，麻黄，大枣，苦杏仁,调和营卫，开表发汗,太阳病，得之八九日，如疟状，发热恶寒，热多寒少，一日二三度发，面色反有热色，无汗，身痒者,"本方与“桂枝二麻黄一汤”组成相同，但是本方中桂枝汤与麻黄汤合方的比例为1:1，“桂枝二麻黄一汤”中桂枝汤与麻黄汤合方的比例为2:1.与“麻黄芍药汤”(《金镜内台方议》)、“桂麻各半汤""(《医学入门》)、“麻黄桂枝合半汤""(《伤寒来苏集》)为异名同方"
解表方-辛温解表,600110185,麻黄连翘赤小豆汤,《伤寒论》,麻黄，连翘，焯，苦杏仁，赤小豆，大枣，桑白皮，生姜，炙甘草,解表清里，利湿退黄,阳黄兼表证，发热恶寒。无汗身痒。周身黄染如橘色，脉浮滑,与“麻黄连翘汤”(《医学纲目》)为异名同方
解表方-辛温解表,600110192,越婢汤,《金匮要略》,麻黄，石膏，生姜，大枣，炙甘草,发汗解表，利水,风水恶风，一身悉肿，自汗不渴，无大热，脉浮,
解表方-辛温解表,600110208,桂枝加葛根汤,《伤寒论》,葛根，桂枝，白芍，生姜，炙甘草，大枣,发汗解肌，解肌祛风，升津舒经,风寒外束，邪人太阳经输，经气不利，津液不能敷布，项背强几几,
解表方-辛温解表,600110215,桂枝二麻黄一汤,《伤寒论》,桂枝，白芍，麻黄，生姜，苦杏仁，炙甘草，大枣,辛温轻剂，微发其汗,太阳中风轻证。症见发热，恶风寒，形似疟状，一日再发，头痛，汗出，舌淡，苔薄，脉浮,"本方与""桂枝麻黄各半汤”组成相同，但是本方中桂枝汤与麻黄汤合方的比例为2:1，桂枝麻黄各半汤中桂枝汤与麻黄汤合方的比例为1:1"
解表方-辛温解表,600110222,桂枝加芍药汤,《伤寒论》,桂枝，白芍，炙甘草，大枣，生姜,通阳和脾，缓急止痛,风寒表证误下，邪陷太阴，发热恶风，汗出，腹满时痛，喜按，舌苔薄白，脉浮弦,"本方与“桂枝汤”组成相同，为同方异名。但是本方中桂枝与白芍的比例为1:2,“桂枝汤”中桂枝与白芍的比例为1:1"
解表方-辛温解表,600110239,桂枝去芍药汤,《伤寒论》,桂枝，炙甘草，生姜，大枣,解肌祛风，去阴通阳,胸满、脉促等表邪内陷，郁而不伸的胸阳不振证,
解表方-辛温解表,600110246,桂枝去芍药加附子汤,《伤寒论》,桂枝，炙甘草，生姜，大枣，炮附片,通阳解表，温经扶阳,太阳病误下，表证不解兼表阳虚证。胸满、脉微、明显恶寒等,
解表方-辛温解表,600110253,桂枝去芍药加麻黄细辛附子汤,《金匮要略》,桂枝，甘草，生姜，大枣，麻黄，细辛，炮附片,温阳散寒，通利气机，宣饮散痞,心肾阳虚，外感风寒，水饮内停证。症见头痛身痛，恶寒无汗，手足逆冷，心下痞坚，腹满肠鸣，相逐有声，或矢气，或遗尿；舌质淡，苔细白而滑，脉沉迟而细涩无力,"与""桂附汤""(《三因极一病证方论》)为异名同方"
