id,name,description,alias
1,临时诊断用术语,泛指常见于临床各科、多系统、多病种，可用作临时诊断的主要症状、体征等外候。又称症状性术语。,
2,发热,临床以体温高出正常标准，或自觉发热、五心烦热等为主的症状。多因外感六淫、疫毒之邪，或因情志、劳倦所伤等所致。注： 常见于各种外感病、疮疡，以及内伤发热、脏腑瘅热、虚劳等。,
3,抽搐,临床以四肢或口角、头部等不自主抽动为特征的症状。多因热毒内盛，风阳扰动，风毒窜络，阴血亏耗等所致。注： 常见于各种外感病、厥脱病、癫痫、痉病、小儿惊风及中毒、意外伤害等。,
4,谵语,临床以患者在神志不清情况下的胡言乱语，语声高亢有力等为特征的症状。多属实证。多因外感热病，邪入心包，或阳明实热、痰热内扰神明所致。注： 常见于外感热病、疫病、狂病、疔疮走黄、疽毒内陷、产后神志异常等。,
5,郑声,临床以神识模糊，语言重复，时断时续，语声低弱、模糊等为特征的症状。多因久病脏器衰竭，心神散乱所致。注： 常见于多种疾病的晚期或危重阶段。,
6,错语,临床以语言错乱，语后自知言错为特征的症状。有虚实之分，虚者多因心气虚弱，神气不足所致；实者多因痰湿、瘀血、气滞等阻碍心窍所致。注： 常见于久病体虚，或老年脏气衰微及部分心系病。,
7,头痛,临床以患者自觉头部疼痛为特征的症状。多因风寒湿热等邪侵袭，或情志所伤，风阳火毒上扰，痰浊瘀血阻滞，致经气不利，气血逆乱，或气血营精亏虚，清阳不升，脑失所养等所致。注： 常见于头风病、偏头风、面风痛、脑络痹、脑瘤及眼、口、鼻病，各种外感病或其他全身性疾病等。,
8,眩晕,临床以自觉头晕眼花，视物旋转动摇的症状。多因气血营精不能上荣于头，或因风阳、火热上扰，痰浊、瘀血阻滞，清阳被遏等所致。注： 常见于风眩、脑络痹、虚眩、耳眩晕、子眩、子痫、产后血晕、晕动病、脑萎、神劳等疾病，或头部内伤、项痹、某些药物中毒、脑瘤及眼耳鼻病等。,
9,晕厥,临床以直立体位，突然发生短暂意识丧失而跌倒，持续数秒钟，取坐位或卧位可逐渐苏醒等为特征的症状。多因疼痛、恐惧等强烈的情绪刺激，饥饿，疲劳，体位改变，站立排尿，闷热、拥挤的场所，以及疾病或药物作用等，致使一时气血逆乱、阴阳之气不相顺接所致。注： 常见于低血压、厥病、颤病、痫病、中风等。,
10,昏迷,临床以神志模糊，对外界环境刺激缺乏反应，甚或昏睡不醒，呼之不应等为特征的症状。多因痰浊、热毒、外伤、气血逆乱、阴阳衰竭及其他强烈刺激等，使神明失主所致。注： 常见于各种外感病的终末期或内伤疾病的晚期。,
11,烦躁,临床以自觉心中烦闷，急躁易怒，坐卧不宁，无所适从，甚则行为举止躁动不安等为的症状。多因气血阴阳虚亏，心神失养，或痰、瘀、热等邪气扰动心神所致。注： 常见于外感热病及郁病、脏躁、颤病、狂病、痫病等。,
12,失眠,临床以经常不能获得正常睡眠时间和质量等为特征的症状。多因思虑劳神太过，气血亏虚，或因情志所伤，气机不舒，以及火热内扰、痰浊阻滞等，使阴阳不和，神气不宁所致。注： 常见于不寐、郁病、神劳、癫病、狂病、脏躁、绝经前后诸症及部分全身性疾病。,
13,健忘,临床以与增龄不相称的记忆力明显减退，遇事易忘等为特征的症状。多因心脾亏虚，心肾不交、年老精衰，或瘀痰痹阻清空等所致。注： 常见于神劳、脑萎、不寐、失志、痴呆、头部内伤、中毒等。,
14,嗜睡,临床以患者精神委顿，不分昼夜，时时欲寐，实际睡眠时间增加等为特征的症状。多因阳气不足，或痰湿内盛，瘀血浊毒阻蔽清阳所致。注： 常见于多种外感病昏迷前期，以及多寐、痴呆、肥胖病、头部内伤、中毒、虚劳等。,
15,目盲,临床以视力严重下降，甚至失明为特征的症状。多因气血瘀阻，或痰热上壅、肝火亢盛、肝肾阴血亏虚而使目无所养所致。注： 常见于内障眼病、神志病等。,
16,耳鸣,临床以无相应声源时自觉耳中或头颅有鸣响声为特征的症状。多因阴血亏虚，或肾精不足、中气下陷，耳窍失养，以及风阳痰火上扰，风邪上乘或药毒犯耳等所致。注： 常见于耳部疾病及脑络痹、风眩、神劳病、高原胸痹、中毒等全身性疾病。,
17,耳聋,临床以双耳或单耳听声不真或不闻声音，检查听力严重障碍等为特征的症状。多因寒热痰火内扰，或气血亏虚，外伤及药物中毒等闭塞耳窍所致。注： 常见于耳部疾病及其他影响听力的全身性疾病。,
18,鼻衄,临床以鼻中出血为特征的症状。多因鼻部疾患或外伤，或因肺、胃、肝经火热上扰，脾虚不能统血等所致。注： 常见于鼻外伤、血溢病及麻疹、丹毒、烂喉丹痧、时行感冒、风眩、髓劳、鼓胀、肾厥等。,
19,牙痛,临床以牙齿酸楚、牙龈疼痛等为特征的症状。多因风邪侵袭，或胃火上炎，肾虚火浮，或脾虚气弱，或牙体腐蚀等所致。注： 常见于龋齿、牙痈、牙咬痈、齿槽风等。,
20,齿衄,临床以血液自牙龈渗出为特征的症状。多因胃经积热，或阴虚火旺，或心脾两虚，血不循经所致。注： 常见于牙宣及紫癜病、髓劳、肥气、血溢病、疫斑热等。,
21,失音,临床以神清而声音嘶哑，甚则不能发出声音为特征的症状。多因风寒或风热火毒等邪犯喉，或燥热袭肺，肺虚失润，或嗜食肥甘、烟酒熏灼，痰热内生，或久病精气内夺，声道燥涩，或情志、劳伤，气机郁滞等所致。注： 常见于喉喑、喉癣、气厥、喉息肉、白喉、子喑等。,
22,咯血,临床以喉部或喉以下呼吸道出血，经口腔排出为特征的症状。多因阴虚火旺，或心火上炎，邪热蕴肺，灼伤络脉所致。注： 常见于喉痹、肺系病等。,
